#identifier	country	group	latitude	longitude	sex	mt_hg
RISE509	Russia	BARu	54,58	90,78	F	T2c1a2
RISE510	Russia	BARu	54,58	90,78	F	J2a2a
RISE511	Russia	BARu	54,58	90,78	F	J2a2a
RISE507	Russia	BARu	51,5	85,97	F	U5a1a1
RISE508	Russia	BARu	51,5	85,97	F	U5a1a1
I0707	Turkey	NENE	40,3	29,57	F	K1a4
I0708	Turkey	NENE	40,3	29,57	M	N1b1a
I0709	Turkey	NENE	40,3	29,57	M	U3
I0736	Turkey	NENE	40,3	29,57	F	N1a1a1a
I0744	Turkey	NENE	40,3	29,57	M	J1c11
I0745	Turkey	NENE	40,3	29,57	M	U8b1b1
I0746	Turkey	NENE	40,3	29,57	M	K1a or K1a1
I1096	Turkey	NENE	40,3	29,57	M	N1a1a1
I1097	Turkey	NENE	40,3	29,57	M	W1-T119C
I1098	Turkey	NENE	40,3	29,57	F	X2d2
I1099	Turkey	NENE	40,3	29,57	M	T2b
I1100	Turkey	NENE	40,3	29,57	F	K1a or K1a6
I1101	Turkey	NENE	40,3	29,57	M	T2b
I1102	Turkey	NENE	40,3	29,57	M	K1a3a
I1103	Turkey	NENE	40,3	29,57	M	K1b1b1
I1579	Turkey	NENE	40,3	29,57	F	K1a-C150T
I1580	Turkey	NENE	40,3	29,57	F	H5
I1581	Turkey	NENE	40,3	29,57	F	U3
I1583	Turkey	NENE	40,3	29,57	M	K1a2
I1585	Turkey	NENE	40,3	29,57	F	J1 or J1c
I0723	Turkey	NENE	40,26	29,65	M	X2m2
I0724	Turkey	NENE	40,26	29,65	M	K1a4
I0725	Turkey	NENE	40,26	29,65	F	N1a1a1
I0726	Turkey	NENE	40,26	29,65	F	H or H5-C16192T
I0727	Turkey	NENE	40,26	29,65	M	K1a2
kum6	Turkey	NENE	39,95	26,2	F	
RISE500	Russia	BARu	53,46	85,45	F	U4d1
RISE503	Russia	BARu	53,46	85,45	F	U2e2
RISE505	Russia	BARu	53,46	85,45	F	U4a1b
RISE512	Russia	BARu	53,46	85,45	M	U2e1
RISE94	Sweden	CWC	56,03	14,23	M	K1a2a
RISE560	Germany	BBC	48,33	10,9	M	U5a1a1
I0059	Germany	BBC	51,82	10,91	F	H1
I0559	Germany	BAC	51,79	11,14	M	HV
I0551	Germany	SMC	51,53	11,83	M	U3a1
RISE00	Estonia	CWC	59,41	27,03	F	H5a1
I0049	Germany	CWC	51,42	11,68	F	X2b4
I0103	Germany	CWC	51,42	11,68	F	W6a
I0104	Germany	CWC	51,42	11,68	M	U4b1a1a1
I0106	Germany	CWC	51,42	11,68	F	T2a1b1
I1532	Germany	CWC	51,42	11,68	M	J1c2e
I1538	Germany	CWC	51,42	11,68	M	J1c5
I1539	Germany	CWC	51,42	11,68	F	J1c1b1a
I1540	Germany	CWC	51,42	11,68	M	J1c5
I1542	Germany	CWC	51,42	11,68	M	J2a2a
I1544	Germany	CWC	51,42	11,68	M	K2b2
RISE446	Germany	CWC	50,01	10,18	M	U5b1c2
RISE434	Germany	CWC	48,93	12,26	M	U4
RISE435	Germany	CWC	48,93	12,26	F	J1b1a1
RISE436	Germany	CWC	48,93	12,26	M	U5b1c2
RISE431	Poland	CWC	52,14	16,54	M	T2e
I0124	Russia	HGE	53,4	50,4	M	U5a1d
I0061	Russia	HGN	61,65	35,65	M	C1
